  145_     prop6_15.03.2015 18:27:54
  146_     prop5_15.03.2015 18:27:54
  147_     prop2_15.03.2015 18:27:55
  148_     prop1_15.03.2015 18:27:55
  149_     prop4_15.03.2015 18:27:56
  150_     prop5_15.03.2015 18:27:56
  151_     prop2_15.03.2015 18:27:56
  152_     prop3_15.03.2015 18:27:57
  153_     prop6_15.03.2015 18:27:57
  154_     prop5_15.03.2015 18:27:57
  155_     prop5_15.03.2015 18:27:57
  156_     prop5_15.03.2015 18:27:58
  157_     prop2_15.03.2015 18:27:58
  158_     prop2_15.03.2015 18:27:58
  159_     prop2_15.03.2015 18:27:58
  160_     prop2_15.03.2015 18:27:58
  161_     prop1_15.03.2015 18:27:59
  162_     prop1_15.03.2015 18:27:59
  163_     prop4_15.03.2015 18:27:59
